City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Acari,PE,2021-08-06 23:49:01,-15.4311,-74.6158,66.83,74,19,4.54
274,Pagegiai,LT,2021-08-06 23:49:01,55.1381,21.9089,57.38,98,100,7.81
275,Ylivieska,FI,2021-08-06 23:49:02,64.0833,24.55,59.32,71,2,5.17
276,Rio Gallegos,AR,2021-08-06 23:49:02,-51.6226,-69.2181,37.45,48,0,20.71
277,Kutulik,RU,2021-08-06 23:49:03,53.3508,102.7839,59.49,85,97,10.56
278,Vostok,RU,2021-08-06 23:40:23,46.4856,135.8833,72.66,82,100,1.41
279,Kaitangata,NZ,2021-08-06 23:39:05,-46.2817,169.8464,46.92,70,96,12.53
280,Lourdes,FR,2021-08-06 23:49:03,43.1,-0.05,68.94,94,75,0.0
281,Sarangani,PH,2021-08-06 23:49:03,5.4033,125.4636,83.03,75,83,7.25
282,Jinxiang,CN,2021-08-06 23:49:04,27.4327,120.6062,79.77,89,100,12.01
283,Kampong Thum,KH,2021-08-06 23:49:04,12.7111,104.8887,78.55,89,96,3.29
284,Sabla,NG,2021-08-06 23:49:05,12.7525,4.7077,80.35,71,56,10.16
285,Lompoc,US,2021-08-06 23:39:54,34.6391,-120.4579,88.79,74,1,16.11
286,Bara,NG,2021-08-06 23:49:05,10.3744,10.7288,73.85,90,49,8.08
287,Namatanai,PG,2021-08-06 23:41:12,-3.6667,152.4333,83.82,70,59,8.7
288,Male,MV,2021-08-06 23:46:03,4.1748,73.5089,84.15,84,75,23.02
289,Olinda,BR,2021-08-06 23:49:05,-8.0089,-34.8553,76.73,78,40,13.8
290,Maine-Soroa,NE,2021-08-06 23:49:06,13.2114,12.0241,83.91,56,67,12.19
291,Tazovskiy,RU,2021-08-06 23:49:06,67.4667,78.7,58.57,62,10,4.76
